title_y,num_correct,num_incorrect,accuracy,accuracy_group,installation_id,game_session_y
Mushroom Sorter (Assessment),1,0,1.0,3,0006a69f,6bdf9623adc94d89
Bird Measurer (Assessment),0,11,0.0,0,0006a69f,77b8ee947eb84b4e
Mushroom Sorter (Assessment),1,0,1.0,3,0006a69f,901acc108f55a5a1
Mushroom Sorter (Assessment),1,1,0.5,2,0006a69f,9501794defd84e4d
Bird Measurer (Assessment),1,0,1.0,3,0006a69f,a9ef3ecb3d1acc6a
Cauldron Filler (Assessment),1,0,1.0,3,0006c192,197a373a77101924
Bird Measurer (Assessment),1,1,0.5,2,0006c192,957406a905d59afd
Mushroom Sorter (Assessment),0,4,0.0,0,0006c192,b2297d292892745a
Bird Measurer (Assessment),1,0,1.0,3,00129856,ae691ec5ad5652cf
Bird Measurer (Assessment),0,5,0.0,0,001d0ed0,7b536271e99518f0
Chest Sorter (Assessment),0,1,0.0,0,001d0ed0,8fdd5d389d0e272e
Cart Balancer (Assessment),1,0,1.0,3,001d0ed0,9480b026e3e7d371
Mushroom Sorter (Assessment),1,1,0.5,2,001d0ed0,c046a858e7c8bf03
Mushroom Sorter (Assessment),1,0,1.0,3,001d0ed0,dc6bc0284039c9fb
Bird Measurer (Assessment),0,2,0.0,0,00225f67,619b9c069cf790ca
Chest Sorter (Assessment),0,11,0.0,0,00279ac5,346d5f57cf40bac0
Mushroom Sorter (Assessment),1,1,0.5,2,002db7e3,03e73cfb40d8d204
Cart Balancer (Assessment),1,0,1.0,3,002db7e3,113a557b60770369
Mushroom Sorter (Assessment),1,0,1.0,3,002db7e3,1c48bdca76efc7b0
Cauldron Filler (Assessment),1,0,1.0,3,002db7e3,470a1bd6b99152a7
Bird Measurer (Assessment),1,4,0.2,1,002db7e3,5025f22d6e944533
Chest Sorter (Assessment),0,5,0.0,0,002db7e3,67f9274eb736ab3f
Bird Measurer (Assessment),1,1,0.5,2,002db7e3,8f50f2fd987cade4
Bird Measurer (Assessment),1,10,0.09090909090909093,1,002db7e3,cace4c493ac347e3
Chest Sorter (Assessment),0,7,0.0,0,002db7e3,f50104895c55045f
Cart Balancer (Assessment),1,0,1.0,3,003372b0,0adc585fb4f48458
Cauldron Filler (Assessment),1,0,1.0,3,003372b0,272cc78535e9add1
Bird Measurer (Assessment),1,1,0.5,2,003372b0,28113cd58d865372
Cart Balancer (Assessment),1,0,1.0,3,003372b0,3beae5a17e0b26f6
Chest Sorter (Assessment),0,4,0.0,0,003372b0,4649b29840d5b0f1
Mushroom Sorter (Assessment),1,0,1.0,3,003372b0,631971b2efa19b8d
Bird Measurer (Assessment),0,1,0.0,0,004c2091,343206b33bfa7941
Cauldron Filler (Assessment),1,0,1.0,3,004c2091,3a50778205e34531
Bird Measurer (Assessment),0,1,0.0,0,004c2091,4e446ee715d1bd94
Cauldron Filler (Assessment),1,0,1.0,3,004c2091,ae5de691ea2252f1
Cauldron Filler (Assessment),1,0,1.0,3,00634433,1454d273262f61e3
Cart Balancer (Assessment),1,0,1.0,3,00634433,440633fe3ef55b90
Chest Sorter (Assessment),0,1,0.0,0,00634433,8c2d5dff4635d020
Cart Balancer (Assessment),0,1,0.0,0,00667b88,900f3ed7ba1a3e72
Cart Balancer (Assessment),1,0,1.0,3,00667b88,a01b01d1e22d0446
Mushroom Sorter (Assessment),0,3,0.0,0,00691033,01d44d1b32c3da7f
Cauldron Filler (Assessment),1,2,0.3333333333333333,1,00691033,27cf0c9a24932c72
Bird Measurer (Assessment),0,7,0.0,0,00691033,57e99afbe299eee7
Mushroom Sorter (Assessment),0,6,0.0,0,00691033,6356ad12dfc4be2f
Bird Measurer (Assessment),1,2,0.3333333333333333,1,00691033,9d2a83e6be787757
Bird Measurer (Assessment),0,7,0.0,0,00691033,a4060f56e5b8b57b
Chest Sorter (Assessment),0,4,0.0,0,00691033,afbc42ed46d8d8b6
Cauldron Filler (Assessment),1,0,1.0,3,00691033,d177c3ef04370586
Bird Measurer (Assessment),0,8,0.0,0,00691033,f76ce167ea7e64ac
Cart Balancer (Assessment),0,3,0.0,0,00a0dbeb,13ef4c0f43016c21
Cart Balancer (Assessment),0,6,0.0,0,00a0dbeb,8d95ce85370a27f1
Cart Balancer (Assessment),0,1,0.0,0,00a0dbeb,9debd3d366d92441
Cart Balancer (Assessment),0,2,0.0,0,00a0dbeb,a77bfd165bda7f8f
Mushroom Sorter (Assessment),1,0,1.0,3,00a53963,4adfc08b1da953b0
Cauldron Filler (Assessment),1,2,0.3333333333333333,1,00ad158e,7cf1b76f9a705306
Cart Balancer (Assessment),1,1,0.5,2,00b9d8e6,6505823b46937a52
Cart Balancer (Assessment),1,0,1.0,3,00cef781,9166fbf0ebef112b
Cart Balancer (Assessment),1,0,1.0,3,00e17272,13fb574a0788a342
Bird Measurer (Assessment),1,1,0.5,2,00e17272,6c8fab7964639f37
Cart Balancer (Assessment),1,0,1.0,3,00e17272,79b23df7134680d6
Chest Sorter (Assessment),1,1,0.5,2,00e17272,7c99edfbd81036e7
Cauldron Filler (Assessment),1,0,1.0,3,00e17272,9444d34477d7f2c5
Cauldron Filler (Assessment),1,0,1.0,3,00e17272,a8c4aa084792d9bc
Cauldron Filler (Assessment),1,0,1.0,3,00e17272,a8f34c37b52dcf4e
Mushroom Sorter (Assessment),1,0,1.0,3,00e17272,b1fa320f360a5df7
Bird Measurer (Assessment),1,2,0.3333333333333333,1,00e536bf,06e4408045163fdd
Cart Balancer (Assessment),1,0,1.0,3,00e536bf,303c177193a14b1c
Chest Sorter (Assessment),0,5,0.0,0,00e536bf,5ffe7ca662764707
Cauldron Filler (Assessment),1,1,0.5,2,00e536bf,6fdf341bb1535e56
Chest Sorter (Assessment),1,0,1.0,3,00e536bf,dd06aeacbb593d36
Cart Balancer (Assessment),1,0,1.0,3,00e536bf,e79a6fc420a2e2ae
Chest Sorter (Assessment),1,0,1.0,3,00e536bf,f1907f95d0e87916
Cauldron Filler (Assessment),1,0,1.0,3,00e536bf,f39c4fd3c2f3d7d9
Bird Measurer (Assessment),1,2,0.3333333333333333,1,00fa8681,2eafd59d5ecf1b1e
Chest Sorter (Assessment),0,1,0.0,0,00fa8681,98823b83956d6274
Mushroom Sorter (Assessment),1,0,1.0,3,00fa8681,b4b25b2c4f2b6ada
Cauldron Filler (Assessment),1,1,0.5,2,00fc65b6,22e0b69bad7a475c
Chest Sorter (Assessment),1,0,1.0,3,00fc65b6,2c8372907b2e7a29
Cauldron Filler (Assessment),1,0,1.0,3,00fc65b6,2f2edeb4ee1a6b96
Cart Balancer (Assessment),1,0,1.0,3,00fc65b6,3cb1a0a7c6e5c4cb
Bird Measurer (Assessment),1,0,1.0,3,00fc65b6,469b3ff25bf7824f
Mushroom Sorter (Assessment),1,0,1.0,3,00fc65b6,71190e29b29e7488
Chest Sorter (Assessment),1,10,0.09090909090909093,1,00fc65b6,7e02851957b1e0df
Cart Balancer (Assessment),1,0,1.0,3,00fc65b6,d4913074c3614940
Cart Balancer (Assessment),1,2,0.3333333333333333,1,00fc65b6,ea2738fba4f2c341
Bird Measurer (Assessment),0,2,0.0,0,010bc1d5,49f65396b901366f
Mushroom Sorter (Assessment),1,0,1.0,3,010bc1d5,77c0ffc58b95748a
Bird Measurer (Assessment),0,2,0.0,0,01120f12,f5fea737ce83acc6
Bird Measurer (Assessment),0,6,0.0,0,0153c957,65f9c6e01c6865d3
Cart Balancer (Assessment),1,0,1.0,3,0155dd86,200bd213d65096c3
Chest Sorter (Assessment),0,2,0.0,0,0155dd86,5fd64cfdd2568004
Cart Balancer (Assessment),1,0,1.0,3,0155dd86,975a971cc0127015
Chest Sorter (Assessment),0,3,0.0,0,0155dd86,a7d5f59c4f1ffbe2
